Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,auth/login,5,0,200.0,186.6904250055086,160.6645839929115,213.71300000464544,1707.0,0.08500462664036905,0.0,200,200,200,210,210,210,210,210,210,210,210
GET,auth/me,5,0,37,38.548233394976705,31.63054198375903,52.2561669931747,1636.0,0.08500462664036905,0.0,37,40,40,52,52,52,52,52,52,52,52
GET,bank-reconciliation/meta [get],9,0,72,83.46513899353643,38.170082989381626,235.93112497474067,1854.0,0.15300832795266428,0.0,72,82,85,86,240,240,240,240,240,240,240
GET,bank-reconciliation/sessions [list],10,0,74,92.21959589340258,44.25691597862169,180.3222500020638,7553.0,0.1700092532807381,0.0,90,97,100,130,180,180,180,180,180,180,180
GET,reports/payables/aging [get],16,0,90,117.71902350483288,41.62600002018735,466.2816250056494,8535.0,0.272014805249181,0.0,96,110,120,120,150,470,470,470,470,470,470
GET,reports/payables/meta [get],11,0,55,61.28853017369031,41.93333300645463,88.70462499908172,101849.0,0.18701017860881192,0.0,55,73,77,77,85,89,89,89,89,89,89
GET,sales/invoices [list],18,0,5500.0,6025.049902723468,3425.9977499896195,9600.986417004606,1317106.0,0.30601665590532856,0.0,5800,6400,7000,7900,9200,9600,9600,9600,9600,9600,9600
GET,sales/settings [get],19,0,280.0,324.3128246839134,141.07320900075138,905.0522090110462,16460.0,0.3230175812334024,0.0,280,350,400,430,510,910,910,910,910,910,910
,Aggregated,93,0,140.0,1290.0010282568062,31.63054198375903,9600.986417004606,272972.8817204301,1.5810860555108643,0.0,140,240,400,910,5500,7000,9200,9600,9600,9600,9600
